Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-11-10 00:00:00-05:00,41.59667334602172,42.02418282229475,41.51116949378403,41.801876068115234,36370100,0.0,0.0
2014-11-11 00:00:00-05:00,41.76768163630979,41.8531855031007,41.59668042600599,41.78478240966797,23445200,0.0,0.0
2014-11-12 00:00:00-05:00,41.519726547260824,41.827530667745826,41.4855250022162,41.707828521728516,22722100,0.0,0.0
2014-11-13 00:00:00-05:00,41.7334736313223,42.4516896368952,41.64796978444561,42.41748809814453,26210400,0.0,0.0
2014-11-14 00:00:00-05:00,42.52864096547759,42.793694733566134,42.22938239740449,42.39183807373047,29081700,0.0,0.0
2014-11-17 00:00:00-05:00,42.24649530107573,42.50300038907299,42.01563974338646,42.28924560546875,30318600,0.0,0.0
2014-11-18 00:00:00-05:00,42.27203393344603,42.44411695510057,41.902056585662514,41.93647384643555,23995500,0.31,0.0
2014-11-19 00:00:00-05:00,41.86763562193311,41.94507281071824,41.239535438325035,41.48905563354492,26177500,0.0,0.0
2014-11-20 00:00:00-05:00,41.29976869775402,41.90205764770508,41.18791423851194,41.90205764770508,21510600,0.0,0.0
2014-11-21 00:00:00-05:00,42.17737972067051,42.20319102001252,40.92978216451681,41.28255081176758,42884800,0.0,0.0
2014-11-24 00:00:00-05:00,41.291149249623054,41.299751920434346,40.77490038129199,40.946983337402344,35434200,0.0,0.0
2014-11-25 00:00:00-05:00,41.00721940368981,41.27394819871057,40.82653374361607,40.84374237060547,28008000,0.0,0.0
2014-11-26 00:00:00-05:00,40.8609653554591,41.29117133473144,40.680276349684256,41.08467102050781,27163600,0.0,0.0
2014-11-28 00:00:00-05:00,41.256740985354924,41.47184390677783,40.96420088093137,41.13628387451172,21534400,0.0,0.0
2014-12-01 00:00:00-05:00,41.196522288503246,41.970891021610626,41.05025056018273,41.83322525024414,31191600,0.0,0.0
2014-12-02 00:00:00-05:00,42.022502522362096,42.203188169974204,41.47183962551961,41.6955451965332,25773500,0.0,0.0
