Ticker,High Price,Current Price,% Off High
TOPS,1094990369390592.0,8.229999542236328,99.99999999999925
XTIA,109471498240.0,0.05400000140070915,99.99999999995067
NXPL,80999997440.0,1.100000023841858,99.99999999864197
GMGI,137025003520.0,2.9800000190734863,99.99999999782521
NUWE,20197799936.0,2.049999952316284,99.99999998985038
UVXY,122399997952.0,20.850000381469727,99.99999998296568
MULN,2756250112.0,1.7100000381469727,99.99999993795919
TNXP,192000000.0,0.14000000059604645,99.99999992708334
WINT,552825024.0,0.6000000238418579,99.99999989146656
GPUS,66406992.0,0.2199999988079071,99.99999966870958
GPUS,66406992.0,0.2199999988079071,99.99999966870958
JAGX,100075504.0,0.9200000166893005,99.9999990806941
SINT,84330000.0,2.690000057220459,99.99999681015052
ABVC,7165605.0,0.5260000228881836,99.99999265937736
ALLR,15288000.0,1.3799999952316284,99.99999097331244
SOXS,215896748.78185746,20.75,99.99999038892427
EJH,8092800.0,1.0,99.99998764333728
AYTU,11824390.0,1.7699999809265137,99.99998503094044
PSHG,11417904.754098361,1.9700000286102295,99.99998274639637
CENN,8100000.0,1.4299999475479126,99.99998234567965
CLRB,10251000.0,2.119999885559082,99.99997931909193
CYCC,2142000.0,0.44999998807907104,99.99997899159719
TENX,21600000.0,4.997000217437744,99.99997686573974
AYRO,3069158.5,0.7699999809265137,99.99997491169059
AVGR,3013200.0,0.8450000286102295,99.9999719567228
BTTR,6926400.0,2.1500000953674316,99.99996895934258
BDRX,16180000.0,5.150000095367432,99.99996817058037
ORKA,75932640.0,26.6200008392334,99.99996494261119
PHIO,6379560.0,2.609999895095825,99.99995908808921
SONN,8008000.0,3.299999952316284,99.99995879120938
PALI,5627700.0,2.490000009536743,99.99995575457096
VISL,13680000.0,6.320000171661377,99.99995380116835
DOMH,3704765.75,1.7200000286102295,99.9999535733122
ADTX,766400.0,0.36899998784065247,99.99995185281996
MRKR,6120000.0,3.7899999618530273,99.99993807189604
UAVS,2812500.0,1.899999976158142,99.99993244444529
CYTO,636800.0,0.4699999988079071,99.99992619346753
OTRK,2263680.0,1.840000033378601,99.99991871642487
FAZ,6348109.262030981,5.829999923706055,99.99990816163233
NURO,3791743.979746255,3.759999990463257,99.99990083718704
SNGX,3600000.0,3.5899999141693115,99.99990027778016
PSTV,1126125.0,1.190000057220459,99.99989432788925
WISA,1683000.0,1.8300000429153442,99.9998912655946
APDN,170400.0,0.1899999976158142,99.99988849765398
TECS,41089925.62937492,46.40999984741211,99.99988705260685
NSPR,2167500.0,2.4600000381469727,99.99988650518856
ARMP,1960000.0,2.25,99.99988520408164
ABEO,5419397.858823529,6.429999828338623,99.9998813521355
GWAV,315450.0,0.41600000858306885,99.99986812489821
CETX,141287.5919060559,0.20499999821186066,99.99985490587288
JDST,16840480.05340454,27.920000076293945,99.99983420900124
VTAK,275000.0,0.46000000834465027,99.99983272726969
SLS,718500.0,1.25,99.99982602644398
POAI,378750.0,0.800000011920929,99.99978877887474
VLCN,3232800.0,6.840000152587891,99.99978841870352
ACHV,1856250.0,4.46999979019165,99.9997591919305
ENTO,235200.0,0.6370000243186951,99.99972916665632
TCBP,350000.0,1.0800000429153442,99.99969142855917
TRAW,1751062.5,5.409999847412109,99.99969104473156
SSG,8492159.745538628,26.299999237060547,99.99969030258468
MBOT,324000.0,1.0099999904632568,99.99968827160788
TTNP,1298784.5,4.360000133514404,99.99966430149625
DSS,332033.4375,1.1299999952316284,99.99965967283183
EFSH,538200.375,1.9900000095367432,99.99963024923393
RCAT,990000.0,3.75,99.99962121212121
CRVO,2902500.0,12.140000343322754,99.99958173986758
FRGT,363986.78125,1.5750000476837158,99.9995672919653
LSTA,637500.0,2.9000000953674316,99.99954509802426
CSCI,690000.0,3.3399999141693115,99.99951594204143
TTOO,122500.0,0.593999981880188,99.9995151020556
DBGI,22000.0,0.10700000077486038,99.99951363636012
SHIP,1808136.9097222222,9.4399995803833,99.99947791566393
NBY,130156.25,0.7099999785423279,99.99945450181721
CELZ,525000.0,2.9000000953674316,99.99944761902945
IMNN,145439.1875,0.8299999833106995,99.99942931475513
SNES,512880.0,2.940000057220459,99.99942676648394
WHLR,1181904.9098984771,7.210000038146973,99.9993899678411
PRSO,182160.0,1.1200000047683716,99.99938515590428
WWR,90000.0,0.5600000023841858,99.99937777777514
QLGN,687500.0,4.289999961853027,99.99937600000554
AEMD,67500.0,0.4300000071525574,99.99936296295236
SYTA,198450.0,1.2699999809265137,99.99936004032203
NITO,36750.0,0.24300000071525574,99.99933877550826
OGEN,54000.0,0.3700000047683716,99.99931481480598
TZA,1474118.81675482,10.119999885559082,99.9993134881822
ENVB,67500.0,0.47699999809265137,99.99929333333615
TOVX,262500.0,1.8600000143051147,99.99929142856598
FFIE,199200.0,1.5800000429153442,99.9992068272877
BYU,24237.5,0.20999999344348907,99.99913357403427
OBLG,432000.0,3.9200000762939453,99.99909259257494
SMX,31168.5,0.2840000092983246,99.99908882362224
LGMK,14500.0,0.13300000131130219,99.99908275861165
HEPA,70336.0,0.6679999828338623,99.99905027299984
GLBS,155677.453125,1.5399999618530273,99.999010775208
GEVO,158160.0,1.590000033378601,99.9989946889015
BOIL,3976000.0,41.59000015258789,99.99895397383922
BRTX,156000.0,1.6464999914169312,99.99894455128755
NXU,36598.5,0.3880000114440918,99.99893984723023
ASTI,230000.0,2.6500000953674316,99.99884782604549
SLRX,124100.0,1.5,99.99879129734084
SQQQ,2595810.843725643,31.690000534057617,99.99877918683441
RSLS,460520.0,5.659999847412109,99.99877095460621
